Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	28340.3	26150	35.333	2.213	1	0	949.06	12242	0.0903498	0.100976	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	360.38 280.33,363.4 284.32
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	363.4 284.32,367.72 288.77
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	367.72 288.77,372.78 294.49
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	372.78 294.49,378.59 301.43
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	378.59 301.43,385.69 307.89
0	5	1528	957	1	0	0	0	0	9	0	0	0	Straight	0.0	784.0	793.0	385.69 307.89,393.42 311.13
0	6	957	586	1	0	0	0	0	11	0	0	0	Straight	0.0	793.0	804.0	393.42 311.13,404.06 311.5
0	7	586	587	1	0	0	0	0	117	0	0	0	Straight	0.0	804.0	921.0	404.06 311.5,427.62 301.53
0	8	587	378	1	0	0	0	0	91	0	0	0	Straight	0.0	921.0	1012.0	427.62 301.53,452.57 295.43
0	9	378	302	1	0	0	0	0	74	0	0	0	Straight	0.0	1012.0	1086.0	452.57 295.43,478.65 294.61
0	10	302	716	1	1	124	124	0	22	142	1	0	U	57.264	1143.26	1285.26	478.65 294.61,472.34 297.15
0	11	716	725	1	1	35	35	0	6	36	1	0	Straight	0.0	1285.26	1321.26	472.34 297.15,466.76 301.65
0	12	725	724	1	1	383	383	0	69	449	1	0	Straight	0.0	1321.26	1770.26	466.76 301.65,462.54 308.14
0	13	724	2221	1	1	55	55	0	10	60	1	0	Left	14.316	1784.58	1844.58	462.54 308.14,459.92 306.08
0	14	2221	724	1	1	55	55	0	10	60	0	0	U	57.264	1901.84	1911.84	459.92 306.08,462.54 308.14
