Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	32712.4	28797	139.624	0	1.26667	0.31487	1057.6	23668.5	0.191993	0.676328	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	360.38 280.33,363.4 284.32
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	363.4 284.32,367.72 288.77
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	367.72 288.77,372.78 294.49
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	372.78 294.49,378.59 301.43
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	378.59 301.43,385.69 307.89
0	5	1528	957	1	0	0	0	0	9	0	0	0	Straight	0.0	784.0	793.0	385.69 307.89,393.42 311.13
0	6	957	586	1	0	0	0	0	11	0	0	0	Straight	0.0	793.0	804.0	393.42 311.13,404.06 311.5
0	7	586	587	1	0	0	0	0	117	0	0	0	Straight	0.0	804.0	921.0	404.06 311.5,427.62 301.53
0	8	587	513	1	1	159	159	0	29	179	1	0	Right	7.158	928.158	1107.16	427.62 301.53,425.71 291.3
0	9	513	834	1	1	61	61	0	11	71	1	0	Straight	0.0	1107.16	1178.16	425.71 291.3,422.77 288.72
0	10	834	513	1	1	61	61	0	11	71	0	0	U	57.264	1235.42	1246.42	422.77 288.72,425.71 291.3
0	11	513	512	1	1	379	379	0	68	438	1	0	U	57.264	1303.69	1741.69	425.71 291.3,424.89 281.77
0	12	512	625	1	1	128	128	0	23	143	1	0	Straight	0.0	1741.69	1884.69	424.89 281.77,420.67 276.39
0	13	625	626	1	1	413	413	0	74	484	1	0	Straight	0.0	1884.69	2368.69	420.67 276.39,420.42 271.44
0	14	626	645	1	1	141	141	0	25	165	1	0	Left	14.316	2383.0	2548.0	420.42 271.44,425.23 270.56
