Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	Full MILP	35200	48000	2	30898.2	25753.2	7201.35	0	1.10526	0.558937	524.308	41937.2	0.890562	2.20133	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	504	36	0	0	0	0	0.0	601.4	0.0	0	0		0	0.0	601.4	-90.453251 38.613293999999996,-90.451767 38.612762000000004,-90.451636 38.612773000000004,-90.45146 38.612815999999995,-90.450718 38.613096,-90.450464 38.613192,-90.449457 38.616066000000004,-90.449474 38.617754000000005,-90.449424 38.619487,-90.448442 38.619485,-90.447724 38.619485999999995,-90.446295 38.619482000000005,-90.445954 38.619481,-90.445853 38.619479,-90.445373 38.619474,-90.445025 38.61947,-90.444731 38.619466,-90.444458 38.619462999999996,-90.444276 38.619461,-90.44414 38.619460000000004,-90.443225 38.619451999999995,-90.442806 38.619447,-90.442494 38.619448,-90.442233 38.619456,-90.442029 38.619506,-90.44186 38.619102,-90.441618 38.618579,-90.441455 38.618263,-90.441213 38.617857,-90.439914 38.616067,-90.439861 38.616001,-90.438313 38.614004,-90.438115 38.613665,-90.437595 38.612445,-90.437053 38.610728,-90.436892 38.610215,-90.436801 38.609932,-90.43672 38.609702999999996,-90.436473 38.608683,-90.436451 38.608439000000004,-90.436381 38.607687,-90.436371 38.607577,-90.436316 38.606944999999996,-90.436295 38.60669,-90.436274 38.60642,-90.436252 38.606201999999996,-90.436184 38.60571,-90.43616 38.605532,-90.436147 38.605421,-90.436135 38.605254,-90.436088 38.604675,-90.436072 38.604163,-90.436062 38.603299,-90.436055 38.602837,-90.436048 38.602373,-90.436042 38.602027,-90.436036 38.601633,-90.436032 38.601374,-90.436024 38.599774,-90.436027 38.599683999999996,-90.436029 38.599475999999996,-90.435998 38.598638,-90.435992 38.597524,-90.43599 38.597432999999995,-90.436 38.595282,-90.435991 38.595062,-90.435977 38.594755,-90.435961 38.594419,-90.435947 38.594127,-90.435918 38.593554999999995,-90.435898 38.593107,-90.43588 38.592769000000004,-90.435867 38.592509,-90.43585 38.59218,-90.435743 38.592179,-90.435494 38.592184,-90.435132 38.592178000000004,-90.434828 38.592178000000004,-90.434609 38.592177,-90.431975 38.592282,-90.428515 38.592507999999995,-90.428252 38.592509,-90.428054 38.592506,-90.427716 38.592505,-90.425058 38.592509,-90.423717 38.592509,-90.421819 38.592486,-90.420818 38.592473,-90.420482 38.592490999999995,-90.420324 38.592501,-90.420107 38.592515,-90.419953 38.592533,-90.419852 38.592545,-90.419103 38.592657,-90.417712 38.592981,-90.417243 38.593097,-90.414738 38.593272999999996,-90.414453 38.593284,-90.414314 38.593289,-90.41298 38.593334999999996,-90.410821 38.593450000000004,-90.410322 38.593494,-90.408193 38.59384,-90.406674 38.594263999999995,-90.406535 38.594313,-90.406124 38.594466,-90.404833 38.595006999999995,-90.40386 38.595524999999995,-90.40293 38.596105,-90.402691 38.596273,-90.402084 38.596697,-90.402005 38.596768999999995,-90.400722 38.597899,-90.40047 38.598147,-90.398985 38.599395,-90.397514 38.600584
0	1	36	177	0	0	0	0	0.0	12.2	0.0	0	0	Straight	0	601.4	613.6	-90.397514 38.600584,-90.396895 38.601185,-90.396329 38.601728,-90.39564 38.602396
0	2	177	179	0	0	0	0	0.0	1.1	0.0	0	0	Straight	0	613.6	614.7	-90.39564 38.602396,-90.395473 38.602557000000004
0	3	179	329	0	0	0	0	0.0	1.6	0.0	0	0	Straight	0	614.7	616.3	-90.395473 38.602557000000004,-90.395253 38.602776
0	4	329	433	0	0	0	0	0.0	15.9	0.0	0	0	Straight	0	616.3	632.2	-90.395253 38.602776,-90.394572 38.60344,-90.393641 38.60434,-90.392818 38.605157
0	5	433	474	0	0	0	0	0.0	4.1	0.0	0	0	Straight	0	632.2	636.3	-90.392818 38.605157,-90.39248 38.605481,-90.392188 38.605745
0	6	474	34	0	0	0	0	0.0	0.9	0.0	0	0	Straight	0	636.3	637.2	-90.392188 38.605745,-90.392051 38.605884
0	7	34	387	0	0	0	0	0.0	10.0	0.0	0	0	Straight	0	637.2	647.2	-90.392051 38.605884,-90.391201 38.606734,-90.390699 38.607219
0	8	387	334	0	0	0	0	0.0	4.5	0.0	0	0	Right	5	652.2	656.7	-90.390699 38.607219,-90.390476 38.607049
0	9	334	367	0	1	18	45	0.0	6.8	11.8	1	0	Straight	0	656.7	668.5	-90.390476 38.607049,-90.390114 38.606784000000005
