Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	37156.3	32475	131.015	0	0.533867	989.599	1.27273	21878.5	0.625498	0.186347	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	611	0	0	0	0	0	16	0	0	0	Straight	0.0	784.0	800.0	LINESTRING(385.690000 307.890000,386.970000 314.450000)
0	6	611	610	1	0	0	0	0	13	0	0	0	Straight	0.0	800.0	813.0	LINESTRING(386.970000 314.450000,383.270000 322.520000)
0	7	610	951	1	0	0	0	0	5	0	0	0	Straight	0.0	813.0	818.0	LINESTRING(383.270000 322.520000,362.600000 336.160000)
0	8	951	561	1	0	0	0	0	65	0	0	0	Straight	0.0	818.0	883.0	LINESTRING(362.600000 336.160000,341.600000 352.600000)
0	9	561	562	1	0	0	0	0	48	0	0	0	U	57.264	940.264	988.264	LINESTRING(341.600000 352.600000,359.330000 347.260000)
0	10	562	1745	1	0	0	0	0	16	0	0	0	Straight	0.0	988.264	1004.26	LINESTRING(359.330000 347.260000,377.200000 341.690000)
0	11	1745	863	1	0	0	0	0	3	0	0	0	Straight	0.0	1004.26	1007.26	LINESTRING(377.200000 341.690000,395.020000 335.480000)
0	12	863	864	1	0	0	0	0	25	0	0	0	Straight	0.0	1007.26	1032.26	LINESTRING(395.020000 335.480000,413.100000 329.070000)
0	13	864	2026	1	0	0	0	0	51	0	0	0	Straight	0.0	1032.26	1083.26	LINESTRING(413.100000 329.070000,431.520000 322.970000)
0	14	2026	750	1	0	0	0	0	53	0	0	0	Straight	0.0	1083.26	1136.26	LINESTRING(431.520000 322.970000,450.470000 317.040000)
0	15	750	2094	1	0	0	0	0	29	0	0	0	Straight	0.0	1136.26	1165.26	LINESTRING(450.470000 317.040000,471.290000 313.390000)
0	16	2094	409	1	0	0	0	0	9	0	0	0	Straight	0.0	1165.26	1174.26	LINESTRING(471.290000 313.390000,492.080000 310.130000)
0	17	409	1778	1	0	0	0	0	9	0	0	0	Straight	0.0	1174.26	1183.26	LINESTRING(492.080000 310.130000,512.650000 307.610000)
0	18	1778	392	1	0	0	0	0	7	0	0	0	Straight	0.0	1183.26	1190.26	LINESTRING(512.650000 307.610000,533.030000 305.260000)
0	19	392	390	1	0	0	0	0	51	0	0	0	Straight	0.0	1190.26	1241.26	LINESTRING(533.030000 305.260000,553.130000 302.750000)
0	20	390	391	1	0	0	0	0	15	0	0	0	Straight	0.0	1241.26	1256.26	LINESTRING(553.130000 302.750000,565.120000 308.210000)
0	21	391	755	1	0	0	0	0	16	0	0	0	Straight	0.0	1256.26	1272.26	LINESTRING(565.120000 308.210000,575.800000 313.970000)
0	22	755	374	1	0	0	0	0	3	0	0	0	Straight	0.0	1272.26	1275.26	LINESTRING(575.800000 313.970000,584.020000 321.030000)
0	23	374	375	1	0	0	0	0	17	0	0	0	Straight	0.0	1275.26	1292.26	LINESTRING(584.020000 321.030000,588.540000 329.810000)
0	24	375	1749	1	0	0	0	0	16	0	0	0	Straight	0.0	1292.26	1308.26	LINESTRING(588.540000 329.810000,587.240000 339.240000)
0	25	1749	738	1	0	0	0	0	2	0	0	0	Straight	0.0	1308.26	1310.26	LINESTRING(587.240000 339.240000,581.260000 348.190000)
0	26	738	327	1	0	0	0	0	28	0	0	0	Straight	0.0	1310.26	1338.26	LINESTRING(581.260000 348.190000,572.820000 357.200000)
0	27	327	328	1	0	0	0	0	9	0	0	0	Straight	0.0	1338.26	1347.26	LINESTRING(572.820000 357.200000,563.020000 364.840000)
0	28	328	315	1	0	0	0	0	14	0	0	0	Straight	0.0	1347.26	1361.26	LINESTRING(563.020000 364.840000,551.920000 371.660000)
0	29	315	713	1	0	0	0	0	3	0	0	0	Straight	0.0	1361.26	1364.26	LINESTRING(551.920000 371.660000,538.490000 376.330000)
0	30	713	711	1	0	0	0	0	3	0	0	0	Straight	0.0	1364.26	1367.26	LINESTRING(538.490000 376.330000,524.130000 380.680000)
0	31	711	712	1	0	0	0	0	2	0	0	0	Straight	0.0	1367.26	1369.26	LINESTRING(524.130000 380.680000,509.000000 384.560000)
0	32	712	288	1	0	0	0	0	27	0	0	0	Straight	0.0	1369.26	1396.26	LINESTRING(509.000000 384.560000,493.330000 387.690000)
0	33	288	715	1	0	0	0	0	49	0	0	0	Straight	0.0	1396.26	1445.26	LINESTRING(493.330000 387.690000,470.620000 391.450000)
0	34	715	311	1	0	0	0	0	10	0	0	0	Straight	0.0	1445.26	1455.26	LINESTRING(470.620000 391.450000,447.990000 396.050000)
0	35	311	285	1	0	0	0	0	33	0	0	0	Right	7.158	1462.42	1495.42	LINESTRING(447.990000 396.050000,443.600000 408.310000)
0	36	285	284	1	1	107	107	0	19	119	1	0	Straight	0.0	1495.42	1614.42	LINESTRING(443.600000 408.310000,437.590000 411.800000)
0	37	284	352	1	0	0	0	0	8	0	0	0	Left	14.316	1628.74	1636.74	LINESTRING(437.590000 411.800000,429.300000 406.940000)
0	38	352	2047	1	0	0	0	0	16	0	0	0	Right	7.158	1643.9	1659.9	LINESTRING(429.300000 406.940000,428.140000 413.140000)
0	39	2047	702	1	0	0	0	0	14	0	0	0	Straight	0.0	1659.9	1673.9	LINESTRING(428.140000 413.140000,431.420000 419.630000)
0	40	702	703	1	1	170	170	0	31	201	1	0	Straight	0.0	1673.9	1874.9	LINESTRING(431.420000 419.630000,433.870000 426.280000)
0	41	703	269	1	0	0	0	0	27	0	0	0	Left	14.316	1889.21	1916.21	LINESTRING(433.870000 426.280000,428.780000 435.510000)
0	42	269	248	1	0	0	0	0	19	0	0	0	Right	7.158	1923.37	1942.37	LINESTRING(428.780000 435.510000,434.630000 448.990000)
0	43	248	246	1	0	0	0	0	26	0	0	0	Straight	0.0	1942.37	1968.37	LINESTRING(434.630000 448.990000,440.250000 464.170000)
0	44	246	242	1	0	0	0	0	70	0	0	0	Left	14.316	1982.69	2052.69	LINESTRING(440.250000 464.170000,437.280000 469.520000)
0	45	242	243	1	1	368	368	0	66	426	1	0	Right	7.158	2059.84	2485.84	LINESTRING(437.280000 469.520000,442.080000 481.680000)
0	46	243	221	1	0	0	0	0	10	0	0	0	Straight	0.0	2485.84	2495.84	LINESTRING(442.080000 481.680000,438.140000 503.310000)
0	47	221	597	1	0	0	0	0	10	0	0	0	Right	7.158	2503.0	2513.0	LINESTRING(438.140000 503.310000,448.200000 514.650000)
